fullNameForSearch,age,position,height,team,overall_rating,awareness_rating,speed_rating,agility_rating,jumping_rating,acceleration_rating,archetype,bCVision_rating,blockShedding_rating,breakSack_rating,breakTackle_rating,carrying_rating,catchInTraffic_rating,catching_rating,changeOfDirection_rating,college,deepRouteRunning_rating,finesseMoves_rating,firstName,hitPower_rating,impactBlocking_rating,injury_rating,iteration,jerseyNum,jukeMove_rating,kickAccuracy_rating,kickPower_rating,kickReturn_rating,lastName,leadBlock_rating,manCoverage_rating,mediumRouteRunning_rating,passBlockFinesse_rating,passBlockPower_rating,passBlock_rating,playAction_rating,playRecognition_rating,plyrAssetname,plyrBirthdate,plyrHandedness,plyrPortrait,powerMoves_rating,press_rating,primaryKey,pursuit_rating,release_rating,runBlockFinesse_rating,runBlockPower_rating,runBlock_rating,runningStyle_rating,shortRouteRunning_rating,signingBonus,spectacularCatch_rating,spinMove_rating,stamina_rating,status,stiffArm_rating,strength_rating,tackle_rating,teamId,throwAccuracyDeep_rating,throwAccuracyMid_rating,throwAccuracyShort_rating,throwOnTheRun_rating,throwPower_rating,throwUnderPressure_rating,totalSalary,toughness_rating,trucking_rating,weight,yearsPro,zoneCoverage_rating
Tyron Smith,31,LT,77,Cowboys,95,98,71,75,72,75,OT_PassProtector,10,40,12,11,55,48,56,56,USC,17,10,Tyron,20,94,76,launch-ratings,77,10,21,25,11,Smith,92,12,25,92,95,94,6,10,SmithTyron_10653,12/12/90,Right,4484,10,10,10653,39,15,95,91,94,Default Stride Awkward,35,40180000,37,10,88,published,10,96,45,11,6,6,6,6,35,14,51080000,94,10,320,11,12
Dalvin Cook,27,HB,70,Vikings,94,92,91,95,77,92,HB_ElusiveBack,95,25,22,93,88,55,71,95,Florida State,56,20,Dalvin,29,33,84,launch-ratings,4,94,21,17,65,Cook,35,13,61,28,33,58,27,14,CookDalvin_12523,8/10/95,Right,8516,20,20,12523,38,53,32,30,39,Short Stride Default,68,26320000,51,87,92,published,82,74,28,31,25,32,38,32,40,17,38700000,81,74,210,5,12
David Bakhtiari,30,LT,76,Packers,94,97,67,64,65,68,OT_PassProtector,10,20,12,5,22,15,40,52,Colorado,5,10,David,25,91,83,launch-ratings,69,10,20,20,10,Bakhtiari,86,10,5,97,91,94,6,15,BakhtiariDavid_1713,9/30/91,Right,5671,10,10,1713,28,15,84,80,83,Default Stride Awkward,15,34680000,12,10,85,published,15,91,40,20,6,6,6,6,22,13,40880000,69,25,310,9,10
Fred Warner,25,MLB,75,49ers,94,99,85,85,94,93,MLB_FieldGeneral,50,78,12,21,63,61,73,84,BYU,5,60,Fred,80,78,94,launch-ratings,54,59,10,13,10,Warner,23,74,5,45,45,45,6,99,WarnerFred_13203,11/19/96,Left,9101,52,58,13203,94,20,45,45,45,Short Stride Bread Loaf,15,12560000,60,53,93,published,34,76,90,15,6,6,6,6,14,10,86300000,87,46,230,4,84
Jaire Alexander,25,CB,70,Packers,94,97,92,93,84,93,CB_MantoMan,71,54,22,64,62,56,71,96,Louisville,13,36,Jaire,62,57,86,launch-ratings,23,85,13,22,81,Alexander,13,96,15,35,35,35,6,94,AlexanderJaire_13109,2/9/97,Right,8797,24,90,13109,77,14,35,35,35,Short Stride Loose,20,48000000,63,76,93,published,26,60,58,20,6,6,6,6,26,13,50080000,64,25,196,4,94
Nick Bosa,24,RE,76,49ers,94,97,79,87,81,92,DE_SmallerSpeedRusher,30,83,12,21,38,27,45,70,Ohio State,6,96,Nick,84,83,87,launch-ratings,97,38,17,17,10,Bosa,18,30,10,45,44,45,6,94,BosaNick_20565,10/23/97,Right,9390,87,31,20565,92,16,45,45,45,Long Stride Loose,17,31550000,23,32,86,published,34,87,89,15,6,6,6,6,25,14,19870000,90,31,266,3,42
Tyrann Mathieu,30,SS,69,Saints,94,97,89,91,88,92,S_Zone,88,58,33,77,68,65,82,91,LSU,20,69,Tyrann,85,59,91,launch-ratings,32,90,22,25,84,Mathieu,15,90,25,35,35,35,19,96,MathieuTyrann_11892,5/13/92,Right,5964,41,87,11892,87,25,35,35,35,Short Stride Loose,35,5700000,73,85,95,published,55,61,76,27,17,20,26,27,35,25,17500000,94,35,190,9,93
Cameron Heyward,33,RE,77,Steelers,93,99,71,68,74,71,DE_RunStopper,29,95,12,11,39,10,48,60,Ohio State,2,75,Cameron,92,88,94,launch-ratings,97,10,11,12,10,Heyward,17,22,3,45,45,45,6,99,HeywardCameron_10698,5/6/89,Right,4384,95,10,10698,93,12,45,45,45,Long Stride Loose,10,33440000,22,10,88,published,46,94,94,29,6,6,6,6,21,18,45420000,95,36,295,11,32
Demario Davis,33,MLB,74,Saints,93,96,85,80,86,88,MLB_FieldGeneral,20,81,12,25,62,15,60,72,Arkansas St.,5,64,Demario,88,86,98,launch-ratings,56,25,20,26,10,Davis,24,73,5,45,45,45,6,92,DavisDemario_11555,1/11/89,Right,5132,57,40,11555,92,12,45,45,45,Long Stride Default,15,9540000,15,15,95,published,45,85,94,27,6,6,6,6,25,16,9620000,93,45,248,10,81
Derwin James Jr,26,SS,74,Chargers,93,90,91,90,93,93,S_RunSupport,73,65,24,59,72,56,72,88,Florida State,17,60,Derwin,91,73,84,launch-ratings,3,77,15,19,78,James Jr,20,87,22,35,35,35,15,90,JamesDerwin_13080,8/3/96,Left,8943,68,83,13080,88,24,35,35,35,Default Stride Loose,27,7090000,61,67,94,published,47,77,80,8,10,13,18,22,34,10,14350000,88,46,215,4,88
Joe Mixon,26,HB,73,Bengals,93,94,91,91,84,93,HB_ElusiveBack,92,34,22,89,96,63,72,89,Oklahoma,56,14,Joe,38,43,92,launch-ratings,28,92,16,24,76,Mixon,46,10,58,26,31,58,28,15,MixonJoe_12625,7/24/96,Right,9241,11,12,12625,38,52,35,36,58,Default,65,19830000,72,83,96,published,90,83,37,2,28,32,36,36,38,17,30300000,91,88,218,5,20
Justin Jefferson,23,WR,73,Vikings,93,97,91,93,94,91,WR_DeepThreat,88,24,23,81,76,88,94,95,LSU,93,24,Justin,17,52,90,launch-ratings,18,90,12,18,61,Jefferson,34,18,92,13,18,25,24,19,JeffersonJustin_20961,6/16/99,Right,385,18,18,20961,41,95,27,29,48,Long Stride Loose,92,11130000,94,80,97,published,75,64,36,31,24,30,35,33,43,29,2000000,87,56,195,2,26
Mark Andrews,26,TE,77,Ravens,93,98,86,80,90,90,TE_VerticalThreat,86,28,16,64,72,89,95,77,Oklahoma,77,10,Mark,25,67,92,launch-ratings,89,79,10,12,10,Andrews,49,12,80,54,50,54,5,15,AndrewsMark_13112,9/6/95,Right,8802,10,10,13112,32,82,66,63,68,Long Stride Default,84,25880000,89,68,97,published,78,79,27,25,5,10,15,10,25,15,33920000,89,73,256,4,15
Terron Armstead,31,LT,77,Dolphins,93,93,78,68,83,78,OT_PassProtector,30,25,12,15,62,64,65,59,Arkansas P.B.,26,10,Terron,20,85,82,launch-ratings,72,35,25,25,10,Armstead,88,15,34,96,92,94,6,17,ArmsteadTerron_964,7/23/91,Right,5661,10,10,964,24,45,89,86,87,Default Stride Awkward,44,33800000,55,25,90,published,33,89,37,12,6,6,6,6,30,16,40670000,86,35,304,9,20
Tre'Davious White,27,CB,71,Bills,93,96,91,90,82,94,CB_Zone,82,53,40,74,65,58,73,88,LSU,18,36,Tre'Davious,66,55,87,launch-ratings,27,82,18,22,80,White,18,93,25,35,35,25,16,95,WhiteTreDavious_12548,1/16/95,Right,8775,28,95,12548,77,32,35,35,25,Short Stride Bread Loaf,35,37360000,70,74,93,published,43,75,66,3,18,22,28,31,36,30,45090000,81,28,192,5,97
Vita Vea,27,DT,76,Buccaneers,93,93,68,72,70,73,DT_RunStopper,55,92,18,46,68,24,40,61,Washington,16,73,Vita,89,94,92,launch-ratings,50,59,16,15,10,Vea,42,23,17,45,45,45,10,95,VeaVita_13091,2/5/95,Right,9093,90,22,13091,90,15,48,52,52,Long Stride Default,26,15910000,18,43,82,published,53,98,89,6,13,16,20,13,24,12,67510000,97,68,347,4,29
Budda Baker,26,SS,70,Cardinals,92,94,91,92,86,92,S_RunSupport,76,64,27,57,72,70,75,90,Washington,36,49,Budda,87,68,91,launch-ratings,3,81,20,20,66,Baker,23,81,41,35,35,35,15,95,BakerBudda_12549,1/10/96,Right,8472,40,77,12549,88,47,35,35,35,Short Stride Loose,51,21900000,75,72,96,published,36,72,75,7,10,10,15,15,25,17,39300000,93,36,195,5,85
Darius Slay Jr,31,CB,72,Eagles,92,92,92,90,88,93,CB_Zone,83,57,17,75,64,63,79,91,Mississippi St.,23,49,Darius,77,56,92,launch-ratings,2,86,21,25,72,Slay Jr,16,90,30,35,35,35,6,93,SlayJrDarius_1426,1/1/91,Right,6273,40,84,1426,78,40,35,35,35,Short Stride Loose,40,27130000,80,81,93,published,43,60,63,13,6,6,6,6,36,12,19620000,83,39,190,9,98
Denzel Ward,25,CB,71,Browns,92,87,94,95,92,96,CB_MantoMan,66,50,18,60,66,48,72,96,Ohio State,20,33,Denzel,72,51,88,launch-ratings,21,80,13,18,67,Ward,17,93,26,35,35,35,6,85,WardDenzel_13101,4/28/97,Right,9100,26,85,13101,72,26,35,35,35,Short Stride Loose,30,38400000,66,66,96,published,28,61,64,5,8,10,15,6,31,15,76180000,86,19,190,4,91
Jonathan Allen,27,DT,75,Commanders,92,97,71,70,74,76,DT_PowerRusher,25,85,12,10,40,25,35,53,Alabama,2,76,Jonathan,80,89,92,launch-ratings,93,28,8,9,10,Allen,18,24,3,45,45,45,6,97,AllenJonathan_12521,1/16/95,Right,8793,91,16,12521,88,12,45,45,45,Long Stride Default,10,30000000,30,30,81,published,34,93,95,26,6,6,6,6,21,17,52640000,85,28,300,5,29
Josh Allen,26,QB,77,Bills,92,86,89,85,90,92,QB_Improviser,95,23,95,83,57,20,40,82,Wyoming,13,9,Josh,11,26,96,launch-ratings,17,84,14,22,13,Allen,17,12,15,10,15,14,89,15,AllenJosh_13197,5/21/96,Right,8800,9,9,13197,33,18,10,10,17,Default,22,55600000,23,75,94,published,79,76,32,3,88,87,89,95,99,91,222150000,93,73,237,4,18
Kevin Byard,29,FS,71,Titans,92,92,89,89,90,89,S_Zone,64,66,10,55,78,47,80,85,Mid Tenn St.,10,53,Kevin,79,60,98,launch-ratings,31,72,19,20,55,Byard,15,82,12,33,34,12,17,91,ByardKevin_17752,8/17/93,Left,7928,47,67,17752,88,22,33,34,16,Default Stride Loose,31,14760000,68,60,94,published,48,73,80,30,36,26,31,18,44,26,29740000,90,50,212,6,93
Khalil Mack,31,ROLB,75,Chargers,92,95,85,86,94,87,OLB_PowerRusher,55,89,12,31,61,54,62,72,Buffalo,5,88,Khalil,88,90,92,launch-ratings,52,54,22,24,10,Mack,28,50,5,45,45,45,6,94,MackKhalil_12344,2/22/91,Right,6504,89,48,12344,94,28,45,45,45,Default Stride Loose,15,13500000,53,60,87,published,51,89,85,8,6,6,6,6,32,12,50400000,92,55,260,8,59
Lane Johnson,32,RT,78,Eagles,92,95,78,75,82,80,OT_Power,60,56,39,30,67,65,64,59,Oklahoma,25,60,Lane,60,92,84,launch-ratings,65,54,22,25,10,Johnson,92,12,33,87,92,90,39,29,JohnsonLane_927,5/8/90,Right,5902,53,10,927,55,45,90,93,92,Default,46,60870000,64,50,87,published,55,88,60,13,50,54,59,52,65,41,56270000,91,65,325,9,20
Lavonte David,32,MLB,73,Buccaneers,92,95,85,86,88,89,MLB_FieldGeneral,35,85,12,10,60,15,77,78,Nebraska,5,61,Lavonte,85,85,92,launch-ratings,54,35,12,14,10,David,28,72,5,45,45,45,6,93,DavidLavonte_11306,1/23/90,Right,5133,55,59,11306,93,25,45,45,45,Default Stride Awkward,15,10150000,50,25,93,published,39,77,93,6,6,6,6,6,15,14,8000000,89,26,233,10,79
Mike Evans,29,WR,77,Buccaneers,92,96,90,84,96,89,WR_Physical,89,35,22,77,79,98,91,82,Texas AM,85,10,Mike,15,59,95,launch-ratings,13,83,24,25,55,Evans,39,40,84,23,25,45,10,15,EvansMike_10857,8/21/93,Right,6407,10,20,10857,25,97,35,38,55,Default Stride Loose,85,18400000,97,75,96,published,80,78,39,6,15,20,25,15,35,20,15620000,94,72,231,8,27
Von Miller,33,RE,75,Bills,92,92,85,87,83,86,DE_RunStopper,40,92,12,20,65,20,51,75,Texas AM,5,89,Von,89,89,94,launch-ratings,40,53,15,21,10,Miller,29,49,5,45,45,45,6,91,MillerVon_10737,3/26/89,Right,4432,91,62,10737,95,33,45,45,45,Default Stride Loose,15,44680000,41,46,86,published,35,84,90,3,6,6,6,6,19,13,75290000,88,41,250,11,60
Bobby Wagner,32,MLB,72,Rams,91,92,85,84,91,87,MLB_RunStopper,48,87,12,23,61,15,73,77,Utah State,5,65,Bobby,92,87,98,launch-ratings,45,42,20,20,10,Wagner,28,68,5,45,45,45,6,92,WagnerBobby_11567,6/27/90,Right,6138,72,42,11567,90,12,45,45,45,Default Stride Awkward,15,9500000,48,24,97,published,53,81,95,24,6,6,6,6,25,10,5000000,74,41,242,10,75
Cameron Jordan,33,LE,76,Saints,91,98,77,79,76,79,DE_RunStopper,26,88,12,14,40,15,36,68,California,4,77,Cameron,85,92,97,launch-ratings,94,30,29,33,10,Jordan,22,30,8,45,45,45,6,98,JordanCameron_10697,7/10/89,Right,4404,90,20,10697,92,20,45,45,45,Default Stride Awkward,15,46500000,15,25,90,published,25,92,91,27,6,6,6,6,30,14,18930000,92,10,287,11,40
Chris Jones,28,DT,78,Chiefs,91,95,69,72,63,79,DT_PowerRusher,27,86,12,10,29,14,29,62,Mississippi St.,3,88,Chris,81,90,90,launch-ratings,95,31,17,17,9,Jones,19,23,6,45,44,44,6,93,JonesChris_17676,7/3/94,Right,8082,96,13,17676,90,15,45,46,44,Default Stride High and Tight,13,72090000,16,21,82,published,29,92,84,9,6,6,6,6,23,16,22000000,93,33,300,6,29
Corey Linsley,31,C,75,Chargers,91,96,68,65,68,67,C_PassProtector,10,10,12,6,39,10,35,47,Ohio State,5,10,Corey,12,88,89,launch-ratings,63,10,22,22,10,Linsley,88,12,5,92,86,90,6,10,LinsleyCorey_2084,7/27/91,Right,6494,10,10,2084,30,12,90,83,88,Long Stride Awkward,10,16500000,12,10,88,published,10,92,29,8,6,6,6,6,26,16,46000000,84,24,301,8,12
Darren Waller,29,TE,78,Raiders,91,93,90,85,87,90,TE_VerticalThreat,89,35,13,73,74,85,89,82,Georgia Tech,78,10,Darren,15,56,90,launch-ratings,83,77,14,22,22,Waller,41,10,81,58,62,62,6,15,WallerDarren_2457,9/13/92,Right,7365,10,15,2457,37,83,55,59,59,Default Stride Loose,86,2720000,88,72,92,published,67,70,32,23,6,10,15,10,35,10,27800000,85,74,255,6,20
Joey Bosa,27,LOLB,77,Chargers,91,98,81,85,78,84,OLB_SpeedRusher,39,84,12,22,43,26,47,70,Ohio State,3,96,Joey,82,90,89,launch-ratings,97,33,19,26,9,Bosa,20,26,6,44,45,45,6,98,BosaJoey_17537,7/11/95,Right,7902,87,22,17537,96,17,45,44,45,Default Stride Loose,13,76500000,29,28,90,published,43,87,85,8,6,6,6,6,28,14,72860000,87,36,280,6,37
Justin Simmons,28,FS,74,Broncos,91,92,88,95,96,91,S_Zone,58,67,12,47,62,50,78,90,Boston College,10,36,Justin,79,55,92,launch-ratings,31,68,19,20,48,Simmons,10,79,12,33,34,13,15,93,SimmonsJustin_17758,11/19/93,Right,8214,32,65,17758,89,22,33,34,18,Default,22,31100000,66,60,96,published,44,66,74,4,10,10,15,15,26,22,29900000,85,53,202,6,89
Keenan Allen,30,WR,74,Chargers,91,94,88,92,93,89,WR_Slot,94,35,22,84,80,95,90,88,California,88,10,Keenan,15,65,87,launch-ratings,13,87,20,22,75,Allen,45,15,94,34,39,45,15,26,AllenKeenan_505,4/27/92,Right,5654,10,10,505,35,91,19,25,59,Long Stride Loose,93,33150000,95,83,96,published,78,72,34,8,21,28,35,31,42,23,59600000,93,71,211,9,26
Marshon Lattimore,26,CB,72,Saints,91,88,92,90,91,94,CB_MantoMan,74,52,17,67,61,60,73,91,Ohio State,17,44,Marshon,69,55,88,launch-ratings,23,80,25,30,70,Lattimore,15,91,24,35,35,35,6,84,LattimoreMarshon_12528,5/20/96,Right,8632,32,96,12528,72,20,35,35,35,Default,34,39800000,72,73,92,published,33,72,72,27,6,6,6,6,22,10,66030000,82,23,192,5,90
Micah Hyde,31,FS,72,Bills,91,96,89,88,83,90,S_Zone,83,56,14,59,74,48,77,84,Iowa,18,49,Micah,71,57,95,launch-ratings,23,84,48,56,83,Hyde,12,84,23,35,35,35,6,97,HydeMicah_11903,12/31/90,Right,6261,36,83,11903,84,25,35,35,35,Short Stride Loose,33,16760000,70,74,94,published,45,58,72,3,6,6,6,6,30,25,6320000,83,33,197,9,91
Stephon Gilmore,31,CB,73,Colts,91,91,90,92,92,93,CB_MantoMan,69,54,33,67,62,62,76,92,South Carolina,10,44,Stephon,68,56,89,launch-ratings,5,80,25,30,70,Gilmore,16,94,11,35,35,35,25,90,GilmoreStephon_11436,9/19/90,Right,5184,60,90,11436,71,15,35,35,35,Default,15,9250000,70,53,93,published,30,68,67,10,32,35,39,39,43,30,10480000,72,22,190,10,90
Terry McLaurin,25,WR,72,Commanders,91,89,94,88,87,93,WR_DeepThreat,89,41,22,81,78,90,97,89,Ohio State,89,11,Terry,34,45,93,launch-ratings,17,88,14,16,40,McLaurin,22,16,89,11,15,37,6,19,McLaurinTerry_20435,9/15/96,Right,9567,11,16,20435,53,96,18,23,50,Short Stride Default,87,1000000,95,78,96,published,55,67,41,26,6,10,15,10,32,18,4760000,92,50,210,3,24
